"Cnum","coursename","url","university"
"course129","Information and Entropy ","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-050j-information-and-entropy-spring-2008/","MIT"
"course183","Introduction to Recommender Systems","https://www.coursera.org/course/recsys","University of Minnesota"
"course103","Data Communication Networks","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-263j-data-communication-networks-fall-2002/","MIT"
"course146","Introduction to Logic","http://online.stanford.edu/courses/intro-logic-fall-2013","Stanford"
"course77","Multicore Programming Primer","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-189-multicore-programming-primer-january-iap-2007","MIT"
"course3","Circuits and Electronics","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-002-circuits-and-electronics-spring-2007/","MIT"
"course136","Quantum Information Science","http://ocw.mit.edu/courses/media-arts-and-sciences/mas-865j-quantum-information-science-spring-2006/","MIT"
"course187","Applied Multimedia Technology","http://ocw.nd.edu/computer-applications/applied-multimedia","Notre Dame"
"course111","Designing and Executing Information Security Strategies","https://www.coursera.org/course/infosec","University of Washington"
"course113","Network and Computer Security","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-857-network-and-computer-security-fall-2003","MIT"
"course158","Developing Apps for IOS","http://online.stanford.edu/course/developing-apps-ios-fall-2010","Stanford"
"course116","Building an Information Risk Management Toolkit","https://www.coursera.org/course/inforisk","University of Washington"
"course141","Bits","http://www.extension.harvard.edu/open-learning-initiative/bits","Harvard"
"course42","Computational Biology: Genomes, Networks, Evolution","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-047-computational-biology-genomes-networks-evolution-fall-2008/","MIT"
"course171","Laboratory in Software Engineering","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-170-laboratory-in-software-engineering-fall-2005","MIT"
"course58","Computer Science 101","http://online.stanford.edu/course/computer-science-101-Summer-2014","Stanford"
"course168","Introduction to Computer Science-Programming Methodology","http://see.stanford.edu/see/courseinfo.aspx?coll=824a47e1-135f-4508-a5aa-866adcae1111","Stanford"
"course7","Cyber-Physical Systems ","https://www.edx.org/course/uc-berkeleyx/uc-berkeleyx-eecs149-1x-cyber-physical-1629#.U8VtJU1OWCg","UC Berkeley"
"course163","Foundations in Software Engineering","http://ocw.mit.edu/courses/civil-and-environmental-engineering/1-124j-foundations-of-software-engineering-fall-2000/","MIT"
"course90","Hardware Security","https://www.coursera.org/course/hardwaresec","University of Maryland"
"course123","Advanced Algorithms ","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-854j-advanced-algorithms-fall-2008/","MIT"
"course38","Distributed Computer Systems Engineering ","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-824-distributed-computer-systems-engineering-spring-2006/","MIT"
"course142","Convex Optimization","http://online.stanford.edu/course/convex-optimization-winter-2014","Stanford"
"course87","Wiretaps to Big Data: Privacy and Surveillance in the Age of Interconnection","https://www.edx.org/course/cornellx/cornellx-engri1280x-wiretaps-big-data-1246#.U8VvxE1OWCg","Cornell"
"course114","Software Security ","https://www.coursera.org/course/softwaresec","University of Maryland"
"course19","Signals and Systems","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-002-circuits-and-electronics-spring-2007/","MIT"
