"cnum","coursename","university","url"
"course134","Kinetics: Studying Spacecraft Motion","University of Colorado Boulder","https://www.coursera.org/learn/spacecraft-dynamics-kinetics"
"course172","Building the Business Model for Corporate Entrepreneurs","University of Maryland, College Park","https://www.coursera.org/learn/corporate-entrepreneurs-business-model"
"course115","Environmental Management & Ethics","Technical University of Denmark (DTU)","https://www.coursera.org/learn/environmental-management-ethics"
"course40","Getting Started with Google Kubernetes Engine","Google Cloud","https://www.coursera.org/learn/google-kubernetes-engine"
"course92","Paradoxes of War","Princeton University","https://www.coursera.org/learn/war"
"course114","Algorithms on Strings","University of California, San Diego, National Research University Higher School of Economics","https://www.coursera.org/learn/algorithms-on-strings"
"course185","Fundamentals of Digital Image and Video Processing","Northwestern University","https://www.coursera.org/learn/digital"
"course86","SRS Documents: Requirements and Diagrammatic Notations","University of Colorado System","https://www.coursera.org/learn/srs-documents-requirements"
"course145","Two Speed IT: How Companies Can Surf the Digital Wave, a BCG Perspective","CentraleSup00c300a9lec","https://www.coursera.org/learn/2-speed-it"
"course179","Introduction to Physical Chemistry","University of Manchester   ","https://www.coursera.org/learn/physical-chemistry"
"course187","Beginning Game Programming with C#","University of Colorado System","https://www.coursera.org/learn/game-programming"
"course124","Navigate the Music Industry as an Independent Artist","Berklee College of Music","https://www.coursera.org/learn/navigate-music-industry-independent-artist"
"course65","Develop and Deploy Windows Applications on Google Cloud Platform","Google Cloud","https://www.coursera.org/learn/develop-windows-apps-gcp"
"course136","Calculus: Single Variable Part 1 - Functions","University of Pennsylvania","https://www.coursera.org/learn/single-variable-calculus"
"course66","Dise00c300b1o de videojuegos","Universitat Aut00c300b2noma de Barcelona","https://www.coursera.org/learn/videojuegos-diseno"
"course174","Introduction to High-Throughput Materials Development","Georgia Institute of Technology","https://www.coursera.org/learn/high-throughput"
"course13","Applications in Engineering Mechanics","Georgia Institute of Technology","https://www.coursera.org/learn/engineering-mechanics-statics-2"
"course84","Real-Time Cyber Threat Detection and Mitigation","New York University Tandon School of Engineering","https://www.coursera.org/learn/real-time-cyber-threat-detection"
"course110","Self Awareness and the Effective Leader","Rice University","https://www.coursera.org/learn/self-awareness"
"course113","Bitcoin and Cryptocurrency Technologies","Princeton University","https://www.coursera.org/learn/cryptocurrency"
"course104","Java Programming: Arrays, Lists, and Structured Data","Duke University","https://www.coursera.org/learn/java-programming-arrays-lists-data"
"course178","Roadmap to Success in Digital Manufacturing & Design ","University at Buffalo, The State University of New York","https://www.coursera.org/learn/roadmap-success-digital-manufacturing-design"
"course199","VLSI CAD Part II: Layout","University of Illinois at Urbana-Champaign","https://www.coursera.org/learn/vlsi-cad-layout"
"course9","Wind Energy","Technical University of Denmark (DTU)","https://www.coursera.org/learn/wind-energy"
